timestamp,room,peopleCount
2025-10-06T08:40:08.000Z,Room 2.12,1
2025-10-06T09:00:07.000Z,Room 2.12,0
2025-10-06T09:20:07.000Z,Room 2.12,14
2025-10-06T09:40:07.000Z,Room 2.12,9
2025-10-06T10:00:07.000Z,Room 2.12,32
2025-10-06T10:20:07.000Z,Room 2.12,65
2025-10-06T10:40:05.000Z,Room 2.12,0
2025-10-06T11:20:10.000Z,Room 2.12,71
2025-10-06T11:40:07.000Z,Room 2.12,71
2025-10-06T12:00:07.000Z,Room 2.12,26
2025-10-06T12:20:07.000Z,Room 2.12,29
2025-10-06T12:40:07.000Z,Room 2.12,31
2025-10-06T13:00:07.000Z,Room 2.12,46
2025-10-06T13:20:08.000Z,Room 2.12,86
2025-10-06T13:40:07.000Z,Room 2.12,75
2025-10-06T14:00:08.000Z,Room 2.12,69
2025-10-06T14:20:08.000Z,Room 2.12,42
2025-10-06T14:40:07.000Z,Room 2.12,76
2025-10-06T15:00:07.000Z,Room 2.12,75
2025-10-06T15:20:07.000Z,Room 2.12,55
2025-10-06T15:40:07.000Z,Room 2.12,66
2025-10-06T16:00:07.000Z,Room 2.12,0
2025-10-06T16:20:08.000Z,Room 2.12,0
2025-10-06T16:40:08.000Z,Room 2.12,0
2025-10-06T17:00:09.000Z,Room 2.12,0
2025-10-06T17:20:08.000Z,Room 2.12,0
2025-10-06T17:40:07.000Z,Room 2.12,0
2025-10-07T07:00:08.000Z,Room 2.12,1
2025-10-07T07:20:07.000Z,Room 2.12,1
2025-10-07T07:40:07.000Z,Room 2.12,6
2025-10-07T08:00:08.000Z,Room 2.12,36
2025-10-07T08:20:07.000Z,Room 2.12,105
2025-10-07T08:40:07.000Z,Room 2.12,105
2025-10-07T09:00:07.000Z,Room 2.12,110
2025-10-07T09:20:05.000Z,Room 2.12,0
2025-10-07T10:00:11.000Z,Room 2.12,113
2025-10-07T10:20:07.000Z,Room 2.12,105
2025-10-07T10:40:08.000Z,Room 2.12,110
2025-10-07T11:20:07.000Z,Room 2.12,30
2025-10-07T11:40:08.000Z,Room 2.12,30
2025-10-07T12:00:08.000Z,Room 2.12,54
2025-10-07T12:20:07.000Z,Room 2.12,89
2025-10-07T12:40:08.000Z,Room 2.12,86
2025-10-07T13:00:07.000Z,Room 2.12,74
